index,cluster,true_label,umap1,umap2
0,7,6,2.1018124,8.134842
1,6,9,7.3346143,9.414406
2,8,9,6.647682,5.026758
3,6,4,5.808366,9.4957
4,3,1,7.575411,6.4895196
5,1,1,10.17863,9.855431
6,0,2,2.827853,10.123636
7,4,7,3.4270322,8.625376
8,9,8,8.7576885,5.9731455
9,2,3,5.6875086,7.6479235
10,0,4,1.0248327,10.586013
11,2,7,4.693584,7.17916
12,0,7,4.729873,9.657529
13,6,2,6.7777967,8.863515
14,3,9,7.237305,10.492216
15,6,9,7.6851687,6.9299946
16,2,9,6.019666,8.414685
17,2,3,4.412318,7.5821447
18,5,2,2.571735,5.591903
19,6,6,7.7387567,9.383729
20,8,4,6.05241,6.0969195
21,1,3,10.043351,9.973007
22,7,6,1.0599895,8.732789
23,7,6,1.1043714,7.4429326
24,0,2,3.5203116,10.318389
25,7,6,2.186594,6.3387256
26,4,3,2.5458786,6.9426336
27,2,5,4.1218925,8.123636
28,6,4,6.054303,9.557241
29,3,0,4.8468766,5.136728
30,1,0,9.842504,8.878689
31,6,9,7.1259127,8.486263
32,3,1,6.225488,7.4323606
33,5,3,2.4190152,6.1310744
34,0,4,2.6807566,9.973287
35,1,0,9.856521,9.580087
36,3,3,6.8433666,7.7008834
37,2,7,3.6645865,9.23591
38,2,3,6.7687044,7.8233223
39,0,3,1.6819687,10.772532
40,5,5,2.2340288,4.720984
41,8,2,5.2696905,5.86637
42,8,2,6.5801587,5.734304
43,4,7,3.867216,7.817567
44,0,1,3.687391,9.955891
45,1,1,8.800858,10.331846
46,3,1,5.8749847,7.1955614
47,9,2,9.066822,6.6246076
48,0,2,4.0131464,9.880128
49,8,0,6.377295,4.854916
50,1,9,10.191053,9.280066
51,6,5,7.1877394,10.299978
52,0,7,3.0996354,8.956047
53,3,9,6.5973372,7.230958
54,0,2,3.067722,10.089433
55,0,2,3.1550462,10.240852
56,4,5,3.085978,7.080863
57,0,2,3.0885699,10.240119
58,7,4,2.1658242,8.30396
59,6,3,6.7861247,9.713006
60,3,1,8.950677,9.550694
61,3,1,6.1643863,6.786211
62,9,8,9.241328,6.938727
63,0,2,3.5884848,10.199066
64,1,1,8.898718,9.342415
65,2,1,6.080095,8.139967
66,6,4,6.3568554,9.3708
67,9,9,9.33859,8.934962
68,2,7,4.791141,6.0866513
69,9,8,8.36668,6.603061
70,8,5,3.5153677,10.018709
71,2,9,6.7129827,8.341699
72,5,6,2.7147136,5.1095243
